x,y,z
8.872001,42.534,91.37
9.102,42.802002,91.184006
7.8160005,40.318,93.748
7.6720004,40.264004,93.40201
7.452,39.628002,93.82001
29.016,56.068,17.278
28.974,55.482002,17.18
29.052002,55.800003,17.668001
28.880001,54.782,17.140001
28.814001,54.544003,16.864
28.766,54.338,17.182001
20.708,26.282001,10.114
20.974,26.368002,10.09
20.79,26.6,10.320001
20.288,26.720001,10.408001
20.078001,26.606,10.268001
20.262001,26.404001,10.200001
39.146004,50.358,66.850006
38.898003,50.458004,66.698006
38.824,50.384003,66.98801
40.572002,49.388,67.850006
40.134003,49.940002,67.712006
40.13,49.976,67.902
24.638,20.136002,91.950005
25.054,20.386002,92.024
24.928001,20.066002,92.492004
27.090002,19.664001,95.836006
27.04,19.730001,95.578
27.240002,19.596,95.86201
13.346001,50.172,102.578
13.344001,50.392002,102.68001
13.634001,50.448,102.61201
14.058001,50.994003,102.95801
13.788001,51.078003,103.19
14.494,51.306004,103.204
29.494001,58.176003,18.054
29.354002,57.910004,17.524
29.218002,57.550003,17.772001
29.130001,57.144,17.406
29.172,57.196003,16.988
29.100002,56.806004,17.022001
43.012,48.782,74.144005
42.4,48.792004,74.07001
42.79,48.554,74.818
42.028004,49.422,72.134
41.74,49.474003,72.054
42.08,49.328003,72.526
49.454002,28.37,120.16801
49.480003,28.032001,120.22001
49.352,27.930002,119.898
49.796,28.612001,119.66401
49.63,28.730001,120.09801
49.61,28.588001,119.770004
64.694,32.198,55.29
64.774,32.052002,56.024002
64.954,32.112003,55.194004
64.626,31.468002,57.116
64.854004,30.968002,56.838
64.936005,31.252,56.702003
40.616,50.014004,69.436005
40.532,49.980003,69.066
40.29,50.050003,69.124
40.936,49.758003,69.094
40.750004,49.478,68.492004
40.604,49.712,68.608
35.752003,53.120003,162.32
35.552002,53.022003,162.996
36.06,53.038002,163.00401
35.188004,53.094,162.20601
34.368,52.910004,162.968
34.9,52.976,162.94
29.234001,17.524,102.82001
29.500002,17.646,103.178
29.340002,17.366001,103.04401
28.206001,18.056002,100.32201
27.94,18.106,99.762
28.424002,18.216002,100.646
67.542,36.046,25.628002
67.65,36.16,25.636002
67.450005,35.97,26.11
67.856,36.38,24.87
68.114006,36.594,23.93
68.158005,36.632,24.698002
24.778002,35.936,193.09001
24.954,36.062,193.00401
24.954,36.238003,192.87001
25.334002,34.926003,193.06001
24.994001,34.5,193.634
25.2,34.512,193.34601
56.022003,42.996002,58.766003
56.186,42.864002,58.728004
56.142002,43.068,58.424004
55.338,43.4,58.31
55.058002,43.234,58.714005
55.516003,43.144,58.936005
19.266,45.284,21.522001
19.278002,45.776,21.432001
19.400002,45.264004,21.426
19.494001,44.344,21.672
19.738,43.772003,21.822
19.654001,43.714,21.874
43.18,22.614,7.9940004
43.666,22.602001,8.172
43.344,22.724,8.27
39.914,25.454,8.39
39.116,26.384,8.398001
39.274002,25.640001,8.264
41.254,47.446003,48.794003
40.822002,47.774002,48.252003
40.56,48.142002,48.780003
40.352,48.370003,48.9
40.366,48.2,48.038002
40.138,48.534004,48.716003
52.63,21.698002,114.004005
52.760002,21.802002,114.01
52.850002,22.108002,114.23801
53.654003,26.276001,115.392006
53.760002,26.498001,115.508
53.604004,26.506,115.23601
44.834003,1.5200001,78.700005
